iter	RMSE
0	1.253579565
1	1.197921185
2	1.146575951
3	1.097524494
4	1.054158309
5	1.014163648
6	0.9775793271
7	0.9413137515
8	0.9088177814
9	0.8794190389
10	0.8528739806
11	0.8284625444
12	0.80570397
13	0.7849147882
14	0.7659675475
15	0.7489798027
16	0.7321470321
17	0.7185485265
18	0.7047377135
19	0.6927391801
20	0.6807589706
21	0.6702207539
22	0.6602503666
23	0.6503540513
24	0.6432601331
25	0.6361961074
26	0.6287797697
27	0.6208337668
28	0.6148608097
29	0.6097583918
30	0.6046601036
31	0.5990101012
32	0.5938518552
33	0.589396627
34	0.5850613208
35	0.5809863405
36	0.5775587796
37	0.5741814049
38	0.5713485582
39	0.5685801606
40	0.5657982288
41	0.5634212808
42	0.5605237701
43	0.558124086
44	0.5564233407
45	0.554559446
46	0.5527172728
47	0.5510077011
48	0.5489200329
49	0.5469604246
50	0.5453244406
51	0.5438126213
52	0.542332774
53	0.5410756813
54	0.5395208058
55	0.5378597788
56	0.5363456789
57	0.5350967348
58	0.5341499007
59	0.5330630591
60	0.5319538153
61	0.5311481276
62	0.5302182982
63	0.5291623955
64	0.5281276572
65	0.5271513264
66	0.5262497437
67	0.5252474698
68	0.5245462162
69	0.5239610404
70	0.5231140971
71	0.5222059888
72	0.5213157648
73	0.5204456708
74	0.5198317097
75	0.5189200653
76	0.5182273412
77	0.5168079854
78	0.5159631756
79	0.5152346477
80	0.5149034799
81	0.5137920985
82	0.5128901698
83	0.5122103235
84	0.51133279
85	0.5109381597
86	0.5103978717
87	0.5098132687
88	0.5094146556
89	0.5086942387
90	0.5081225441
91	0.5076926875
92	0.5069562311
93	0.5064734063
94	0.5061843275
95	0.5058253939
96	0.5054379734
97	0.5049717908
98	0.5043480682
99	0.5040280907
100	0.5036806806
101	0.5032844332
102	0.5029475642
103	0.5026281399
104	0.5023743776
105	0.5021213196
106	0.5018022825
107	0.5015922347
108	0.5011696424
109	0.5006024111
110	0.5003312984
111	0.5000754032
112	0.4996810219
113	0.4992893449
114	0.4989571061
115	0.4985975876
116	0.4982075226
117	0.4977770278
118	0.4972238757
119	0.4968096286
120	0.4962978269
121	0.4957540362
122	0.4954331991
123	0.4949793349
124	0.4945340532
125	0.4942215734
126	0.4938345641
127	0.4936050059
128	0.4933903402
129	0.493108513
130	0.4927691014
131	0.4926506807
132	0.4922627755
133	0.491973259
134	0.491584519
135	0.4912732021
136	0.4910680973
137	0.4908351437
138	0.4903593832
139	0.4901653462
140	0.4898795247
141	0.4896245006
142	0.4893672884
143	0.4890305463
144	0.4886475447
145	0.4883172596
146	0.488082707
147	0.4878545336
148	0.4876500723
149	0.4872806022
150	0.4870712681
151	0.4866266065
152	0.4863205953
153	0.4858622242
154	0.4854435225
155	0.4853157543
156	0.4851268656
157	0.4847260307
158	0.4846012185
159	0.4843823059
160	0.4840893699
161	0.4837955229
162	0.4833491452
163	0.4831626186
164	0.4829000763
165	0.4826806726
166	0.4824717914
167	0.4820790911
168	0.4818124101
169	0.4815031299
170	0.4811689819
171	0.480939552
172	0.4807244073
173	0.4803808628
174	0.4801625076
175	0.4798887032
176	0.4797307698
177	0.4794140799
178	0.4791207986
179	0.4787308534
180	0.478526866
181	0.47825771
182	0.4780897433
183	0.4779280967
184	0.4778503738
185	0.4775609014
186	0.477330603
187	0.4770662532
188	0.476688543
189	0.476458865
190	0.4760920807
191	0.475881531
192	0.4756355743
193	0.475414504
194	0.4750525106
195	0.4747187065
196	0.4744757024
197	0.4741787662
198	0.4740850257
199	0.4739602019
200	0.4737298467
201	0.4735805866
202	0.4733209847
203	0.4729724347
204	0.4727849492
205	0.4725148577
206	0.4721753493
207	0.4719107711
208	0.4717313742
209	0.4714723771
210	0.4712846716
211	0.4711144267
212	0.4708014571
213	0.4705458851
214	0.4703554245
215	0.4702473893
216	0.4699809645
217	0.4697763329
218	0.4696246487
219	0.4695563723
220	0.4694298085
221	0.4693736752
222	0.4691055242
223	0.4688492528
224	0.4685227393
225	0.4681974703
226	0.4679794976
227	0.4677739239
228	0.4677377784
229	0.4676511442
230	0.4674724336
231	0.4673687051
232	0.4670506311
233	0.4669613398
234	0.4667329782
235	0.466581006
236	0.4665309073
237	0.4662073486
238	0.4659751907
239	0.4658245952
240	0.4654688925
241	0.4652831243
242	0.465080144
243	0.4647993137
244	0.4645430876
245	0.4642543763
246	0.463989137
247	0.4637445908
248	0.4635714258
249	0.4635382847
250	0.4633237573
251	0.4632238775
252	0.4628844978
253	0.4626909865
254	0.4624521823
255	0.4623149655
256	0.4621085043
257	0.461967373
258	0.4616689517
259	0.4613643684
260	0.4611952796
261	0.4610310785
262	0.4609318841
263	0.4607794214
264	0.4605856096
