iter	Passed	Remaining
0	2	2324
1	3	1835
2	5	1740
3	6	1631
4	7	1576
5	9	1539
6	10	1502
7	11	1474
8	13	1441
9	14	1423
10	15	1399
11	17	1403
12	18	1409
13	19	1407
14	21	1398
15	22	1389
16	24	1387
17	25	1388
18	26	1387
19	28	1389
20	29	1385
21	30	1376
22	32	1369
23	33	1369
24	35	1369
25	36	1373
26	37	1365
27	39	1360
28	40	1356
29	41	1352
30	43	1353
31	44	1353
32	46	1348
33	47	1347
34	48	1343
35	50	1342
36	51	1340
37	52	1335
38	54	1331
39	55	1324
40	56	1319
41	57	1318
42	59	1315
43	60	1312
44	61	1311
45	63	1309
46	64	1306
47	65	1305
48	67	1305
49	68	1306
50	70	1304
51	71	1299
52	72	1297
53	73	1294
54	75	1302
55	77	1302
56	78	1300
57	79	1296
58	81	1292
59	82	1290
60	83	1287
61	84	1285
62	86	1281
63	87	1280
64	88	1277
65	90	1275
66	91	1274
67	92	1272
68	94	1270
69	95	1267
70	96	1267
71	98	1267
72	99	1267
73	101	1269
74	102	1268
75	104	1265
76	105	1265
77	106	1264
78	108	1262
79	109	1260
80	110	1258
81	112	1256
82	113	1255
83	114	1253
84	116	1251
85	117	1251
86	119	1249
87	120	1249
88	121	1247
89	123	1246
90	124	1245
91	125	1243
92	127	1239
93	128	1237
94	129	1236
95	130	1233
96	132	1233
97	133	1231
98	135	1230
99	136	1229
100	137	1228
101	139	1226
102	140	1225
103	142	1223
104	143	1223
105	144	1221
106	146	1225
107	148	1224
108	149	1224
109	151	1222
110	152	1221
111	153	1219
112	155	1216
113	156	1214
114	157	1213
115	158	1211
116	160	1211
117	161	1210
118	163	1209
119	164	1208
120	165	1205
121	167	1204
122	168	1202
123	169	1200
124	171	1199
125	172	1199
126	174	1197
127	175	1195
128	176	1193
129	178	1192
130	179	1190
131	180	1189
132	182	1187
133	183	1186
134	184	1184
135	186	1182
136	187	1180
137	188	1178
138	189	1176
139	191	1174
140	192	1172
141	193	1170
142	195	1169
143	196	1167
144	197	1167
145	199	1165
146	200	1165
147	202	1164
148	203	1162
149	204	1161
150	206	1160
151	207	1158
152	209	1157
153	210	1156
154	212	1155
155	213	1154
156	214	1152
157	216	1155
158	218	1154
159	219	1153
160	220	1151
161	222	1149
162	223	1147
163	224	1146
164	226	1144
165	227	1143
166	228	1141
167	230	1139
168	231	1137
169	232	1135
170	233	1132
171	234	1131
172	236	1128
173	237	1125
174	238	1123
175	239	1122
176	241	1124
177	243	1122
178	244	1120
179	245	1118
180	246	1116
181	247	1114
182	249	1113
183	250	1111
184	251	1109
185	252	1107
186	254	1104
187	255	1103
188	256	1102
189	258	1101
190	259	1099
191	260	1097
192	262	1096
193	263	1094
194	264	1092
195	265	1090
